line_code,section,label,amount_eur,source_jo,source_annex,line_ref_jo,line_ref_annex
1411,fiscal,Cotisations perçues au titre de la participation des employeurs à l’effort de construction,27451462,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1412,fiscal,Taxe de participation des employeurs au financement de la formation professionnelle continue,34654281,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1413,fiscal,"Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d’art, de collection et d’antiquité",148510276,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1415,fiscal,Contribution des institutions financières,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1416,fiscal,Taxe sur les surfaces commerciales,240601099,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1421,fiscal,Cotisation nationale de péréquation de taxe professionnelle,1029273,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1427,fiscal,Prélèvements de solidarité,15634906822,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1429,fiscal,Taxe sur les gestionnaires d’infrastructures de transport (écrêtement),0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1430,fiscal,Taxe sur les services numériques,881600000,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1431,fiscal,Taxe d’habitation sur les résidences principales,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
